date,day,dayType,dtDesc
1436745600,Mon,7,First day of week - school holiday
1436832e3,Tues,9,Middle of week - school holiday
1436918400,Wed,9,Middle of week - school holiday
1437004800,Thurs,9,Middle of week - school holiday
1437091200,Fri,11,Last day of week - school holiday
1437177600,Sat,5,Saturday
1437264e3,Sun,6,Sunday
1437350400,Mon,7,First day of week - school holiday
1437436800,Tues,9,Middle of week - school holiday
1437523200,Wed,9,Middle of week - school holiday
1437609600,Thurs,9,Middle of week - school holiday
1437696e3,Fri,11,Last day of week - school holiday
1437782400,Sat,5,Saturday
1437868800,Sun,6,Sunday
1437955200,Mon,7,First day of week - school holiday
1438041600,Tues,9,Middle of week - school holiday
1438128e3,Wed,9,Middle of week - school holiday
1438214400,Thurs,9,Middle of week - school holiday
1438300800,Fri,11,Last day of week - school holiday
1438387200,Sat,5,Saturday
1438473600,Sun,6,Sunday
143856e4,Mon,12,Bank Holidays including Good Friday
1438646400,Tues,0,First working day of normal week
1438732800,Wed,9,Middle of week - school holiday
1438819200,Thurs,9,Middle of week - school holiday
1438905600,Fri,11,Last day of week - school holiday
1438992e3,Sat,5,Saturday
1439078400,Sun,6,Sunday
1439164800,Mon,7,First day of week - school holiday
1439251200,Tues,9,Middle of week - school holiday
1439337600,Wed,9,Middle of week - school holiday
1439424e3,Thurs,9,Middle of week - school holiday
1439510400,Fri,11,Last day of week - school holiday
1439596800,Sat,5,Saturday
1439683200,Sun,6,Sunday
1439769600,Mon,7,First day of week - school holiday
1439856e3,Tues,9,Middle of week - school holiday
1439942400,Wed,9,Middle of week - school holiday
1440028800,Thurs,9,Middle of week - school holiday
1440115200,Fri,11,Last day of week - school holiday
1440201600,Sat,5,Saturday
1440288e3,Sun,6,Sunday
